{'game_name': 'olympics-running', 'algo': 'ppo', 'max_episodes': 1500, 'episode_length': 500, 'map': 6, 'shuffle_map': False, 'seed': 1, 'device': 'cpu', 'save_interval': 10, 'render': False, 'load_model': False, 'load_run': 2, 'load_episode': 900, 'run_dir': 'map6_use_dist'}
Total agent number: 2
Agent control by the actor: 1
Game board width: 700
Game board height: 700
action dimension: [[Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)], [Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)]]
observation dimension: 625
store in /mnt/lustre/sjtu/home/ywg12/remote/code/OlympicsProject/rl_trainer/models/olympics-running/ppo/map6_use_dist
Episode:  147 controlled agent:  1 ; Episode Return:  -1428.862048458378 ; win rate(controlled & opponent):  0.47 0.53 ; Trained episode: 63
Episode:  148 controlled agent:  1 ; Episode Return:  -955.6223663640865 ; win rate(controlled & opponent):  0.47 0.53 ; Trained episode: 63
Episode:  149 controlled agent:  1 ; Episode Return:  -1169.4112549695446 ; win rate(controlled & opponent):  0.46 0.54 ; Trained episode: 64
Episode:  150 controlled agent:  1 ; Episode Return:  -1259.783837971575 ; win rate(controlled & opponent):  0.46 0.54 ; Trained episode: 64
Episode:  151 controlled agent:  1 ; Episode Return:  -1121.5117600329331 ; win rate(controlled & opponent):  0.46 0.54 ; Trained episode: 64
Episode:  152 controlled agent:  1 ; Episode Return:  -1384.406204335662 ; win rate(controlled & opponent):  0.45 0.55 ; Trained episode: 65
Episode:  153 controlled agent:  1 ; Episode Return:  -1418.7026688919445 ; win rate(controlled & opponent):  0.44 0.56 ; Trained episode: 65
Episode:  154 controlled agent:  1 ; Episode Return:  -1358.9087296526036 ; win rate(controlled & opponent):  0.44 0.56 ; Trained episode: 65
Episode:  155 controlled agent:  1 ; Episode Return:  -968.9777054234141 ; win rate(controlled & opponent):  0.43 0.57 ; Trained episode: 65
Episode:  156 controlled agent:  1 ; Episode Return:  -1233.5777772109159 ; win rate(controlled & opponent):  0.44 0.56 ; Trained episode: 65
