{'game_name': 'olympics-running', 'algo': 'ppo', 'max_episodes': 1500, 'episode_length': 500, 'map': 3, 'shuffle_map': False, 'seed': 1, 'device': 'cpu', 'save_interval': 100, 'render': False, 'load_model': False, 'load_run': 2, 'load_episode': 900, 'run_dir': 'map3_use_step_dist_train_by_win', 'actor_hidden_layers': 1, 'critic_hidden_layers': 1, 'num_frame': 1, 'use_cnn': False, 'train_by_win': True}
{'class_literal': 'OlympicsRunning', 'n_player': 2, 'max_step': 500, 'game_name': 'running', 'is_obs_continuous': True, 'is_act_continuous': True, 'agent_nums': [1, 1], 'obs_type': ['vector', 'vector'], 'map_num': 11, 'use_map_dist': True, 'use_hit_wall': False}
Total agent number: 2
Agent control by the actor: 1
Game board width: 700
Game board height: 700
action dimension: [[Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)], [Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)]]
observation dimension: 625
store in /mnt/lustre/sjtu/home/ywg12/remote/code/OlympicsProject/rl_trainer/models/olympics-running/ppo/map3_use_step_dist_train_by_win
Use CNN: False
Episode:  78 controlled agent:  1 ; Episode Return:  -1036.6467529817264 ; win rate(controlled & opponent):  0.41 0.59 ; Trained episode: 32
Episode:  79 controlled agent:  1 ; Episode Return:  -583.7817459305201 ; win rate(controlled & opponent):  0.41 0.59 ; Trained episode: 32
Episode:  80 controlled agent:  1 ; Episode Return:  -285.9705627484771 ; win rate(controlled & opponent):  0.41 0.59 ; Trained episode: 32
Episode:  81 controlled agent:  1 ; Episode Return:  -551.0954544295048 ; win rate(controlled & opponent):  0.41 0.59 ; Trained episode: 33
Episode:  82 controlled agent:  1 ; Episode Return:  -621.4264068711927 ; win rate(controlled & opponent):  0.40 0.60 ; Trained episode: 33
Episode:  83 controlled agent:  1 ; Episode Return:  -180.87005768508877 ; win rate(controlled & opponent):  0.41 0.59 ; Trained episode: 33
Episode:  84 controlled agent:  1 ; Episode Return:  -441.28427124746185 ; win rate(controlled & opponent):  0.42 0.58 ; Trained episode: 34
Episode:  85 controlled agent:  1 ; Episode Return:  -72.04163056034263 ; win rate(controlled & opponent):  0.42 0.58 ; Trained episode: 35
Episode:  86 controlled agent:  1 ; Episode Return:  -134.14213562373095 ; win rate(controlled & opponent):  0.43 0.57 ; Trained episode: 36
Episode:  87 controlled agent:  1 ; Episode Return:  -897.8528137423855 ; win rate(controlled & opponent):  0.43 0.57 ; Trained episode: 37
Episode:  88 controlled agent:  1 ; Episode Return:  -356.31370849898474 ; win rate(controlled & opponent):  0.43 0.57 ; Trained episode: 37
Episode:  89 controlled agent:  1 ; Episode Return:  -630.6173157302036 ; win rate(controlled & opponent):  0.43 0.57 ; Trained episode: 38
Episode:  90 controlled agent:  1 ; Episode Return:  -705.6690475583121 ; win rate(controlled & opponent):  0.42 0.58 ; Trained episode: 38
Episode:  91 controlled agent:  1 ; Episode Return:  -253.79898987322332 ; win rate(controlled & opponent):  0.43 0.57 ; Trained episode: 38
Episode:  92 controlled agent:  1 ; Episode Return:  -731.3818177180218 ; win rate(controlled & opponent):  0.42 0.58 ; Trained episode: 39
Episode:  93 controlled agent:  1 ; Episode Return:  -598.1391770309025 ; win rate(controlled & opponent):  0.42 0.58 ; Trained episode: 39
Episode:  94 controlled agent:  1 ; Episode Return:  -806.6833329081866 ; win rate(controlled & opponent):  0.41 0.59 ; Trained episode: 39
Episode:  95 controlled agent:  1 ; Episode Return:  -901.4680374315353 ; win rate(controlled & opponent):  0.41 0.59 ; Trained episode: 39
Episode:  96 controlled agent:  1 ; Episode Return:  -185.62741699796953 ; win rate(controlled & opponent):  0.42 0.58 ; Trained episode: 39
Episode:  97 controlled agent:  1 ; Episode Return:  -220.7989898732233 ; win rate(controlled & opponent):  0.42 0.58 ; Trained episode: 40
Episode:  98 controlled agent:  1 ; Episode Return:  -648.953318805774 ; win rate(controlled & opponent):  0.42 0.58 ; Trained episode: 41
Episode:  99 controlled agent:  1 ; Episode Return:  -873.8233764908626 ; win rate(controlled & opponent):  0.41 0.59 ; Trained episode: 41
Episode:  100 controlled agent:  1 ; Episode Return:  -676.9432175380085 ; win rate(controlled & opponent):  0.41 0.59 ; Trained episode: 41
Episode:  101 controlled agent:  1 ; Episode Return:  -722.8549057834404 ; win rate(controlled & opponent):  0.40 0.60 ; Trained episode: 41
Episode:  102 controlled agent:  1 ; Episode Return:  -836.1614716074877 ; win rate(controlled & opponent):  0.40 0.60 ; Trained episode: 41
Episode:  103 controlled agent:  1 ; Episode Return:  -825.8355697996827 ; win rate(controlled & opponent):  0.39 0.61 ; Trained episode: 41
Episode:  104 controlled agent:  1 ; Episode Return:  -86.52691193458115 ; win rate(controlled & opponent):  0.40 0.60 ; Trained episode: 41
Episode:  105 controlled agent:  1 ; Episode Return:  -1072.5685424949238 ; win rate(controlled & opponent):  0.40 0.60 ; Trained episode: 42
Episode:  106 controlled agent:  1 ; Episode Return:  -360.04163056034264 ; win rate(controlled & opponent):  0.41 0.59 ; Trained episode: 42
Episode:  107 controlled agent:  1 ; Episode Return:  -893.676190233249 ; win rate(controlled & opponent):  0.41 0.59 ; Trained episode: 43
Episode:  108 controlled agent:  1 ; Episode Return:  -879.6883835420691 ; win rate(controlled & opponent):  0.41 0.59 ; Trained episode: 44
Episode:  109 controlled agent:  1 ; Episode Return:  -601.2325394193532 ; win rate(controlled & opponent):  0.40 0.60 ; Trained episode: 44
Episode:  110 controlled agent:  1 ; Episode Return:  -30.89949493661166 ; win rate(controlled & opponent):  0.41 0.59 ; Trained episode: 44
Episode:  111 controlled agent:  1 ; Episode Return:  -81.38477631085024 ; win rate(controlled & opponent):  0.42 0.58 ; Trained episode: 45
Episode:  112 controlled agent:  1 ; Episode Return:  -912.6396103067891 ; win rate(controlled & opponent):  0.41 0.59 ; Trained episode: 46
Episode:  113 controlled agent:  1 ; Episode Return:  -530.4680374315353 ; win rate(controlled & opponent):  0.41 0.59 ; Trained episode: 46
Episode:  114 controlled agent:  1 ; Episode Return:  -148.45584412271566 ; win rate(controlled & opponent):  0.41 0.59 ; Trained episode: 46
Episode:  115 controlled agent:  1 ; Episode Return:  -931.4873734152926 ; win rate(controlled & opponent):  0.41 0.59 ; Trained episode: 47
Episode:  116 controlled agent:  1 ; Episode Return:  -161.556349186104 ; win rate(controlled & opponent):  0.42 0.58 ; Trained episode: 48
Episode:  117 controlled agent:  1 ; Episode Return:  -157.11269837220806 ; win rate(controlled & opponent):  0.42 0.58 ; Trained episode: 49
Episode:  118 controlled agent:  1 ; Episode Return:  -696.1198410471449 ; win rate(controlled & opponent):  0.42 0.58 ; Trained episode: 50
Episode:  119 controlled agent:  1 ; Episode Return:  -109.31370849898474 ; win rate(controlled & opponent):  0.42 0.58 ; Trained episode: 50
Episode:  120 controlled agent:  1 ; Episode Return:  -801.7960312803949 ; win rate(controlled & opponent):  0.42 0.58 ; Trained episode: 51
Episode:  121 controlled agent:  1 ; Episode Return:  -831.8994949366116 ; win rate(controlled & opponent):  0.42 0.58 ; Trained episode: 51
Episode:  122 controlled agent:  1 ; Episode Return:  -207.52691193458114 ; win rate(controlled & opponent):  0.42 0.58 ; Trained episode: 51
Episode:  123 controlled agent:  1 ; Episode Return:  -805.9116882454314 ; win rate(controlled & opponent):  0.42 0.58 ; Trained episode: 52
Episode:  124 controlled agent:  1 ; Episode Return:  -1094.5391052434006 ; win rate(controlled & opponent):  0.42 0.58 ; Trained episode: 53
Episode:  125 controlled agent:  1 ; Episode Return:  -724.7106781186546 ; win rate(controlled & opponent):  0.42 0.58 ; Trained episode: 53
Episode:  126 controlled agent:  1 ; Episode Return:  -956.3818177180218 ; win rate(controlled & opponent):  0.42 0.58 ; Trained episode: 53
Episode:  127 controlled agent:  1 ; Episode Return:  -721.144227664785 ; win rate(controlled & opponent):  0.42 0.58 ; Trained episode: 53
Episode:  128 controlled agent:  1 ; Episode Return:  -129.11269837220811 ; win rate(controlled & opponent):  0.43 0.57 ; Trained episode: 53
Episode:  129 controlled agent:  1 ; Episode Return:  -523.7350647362945 ; win rate(controlled & opponent):  0.43 0.57 ; Trained episode: 54
Episode:  130 controlled agent:  1 ; Episode Return:  -829.6051224213835 ; win rate(controlled & opponent):  0.43 0.57 ; Trained episode: 54
Episode:  131 controlled agent:  1 ; Episode Return:  -1001.0121933088196 ; win rate(controlled & opponent):  0.43 0.57 ; Trained episode: 55
Episode:  132 controlled agent:  1 ; Episode Return:  -211.7989898732233 ; win rate(controlled & opponent):  0.44 0.56 ; Trained episode: 56
Episode:  133 controlled agent:  1 ; Episode Return:  -344.112698372208 ; win rate(controlled & opponent):  0.45 0.55 ; Trained episode: 57
Episode:  134 controlled agent:  1 ; Episode Return:  -652.80613254816 ; win rate(controlled & opponent):  0.45 0.55 ; Trained episode: 58
Episode:  135 controlled agent:  1 ; Episode Return:  -720.8822509939084 ; win rate(controlled & opponent):  0.46 0.54 ; Trained episode: 58
